Customer ID,Age,Gender,Annual Income,Spending Score
111,30,Male,151479,89
112,58,Female,185088,95
113,62,Female,70912,76
114,23,Male,55460,57
115,24,Male,153752,76
116,42,Male,158335,40
117,27,Female,163501,37
118,24,Male,70476,17
119,83,Male,47743,34
120,62,Female,63448,3
121,37,Male,170566,75
122,63,Female,89355,80
123,25,Male,87576,17
124,32,Female,159892,96
125,51,Female,135079,87
126,64,Female,32869,81
127,19,Male,198682,82
128,89,Male,38708,97
129,65,Male,87270,3
130,26,Male,45518,12
131,21,Male,199879,49
132,70,Male,163828,36
133,24,Male,109188,6
134,39,Female,48212,36
135,61,Male,141596,45
136,19,Female,192492,57
137,79,Male,109550,7
138,61,Female,38132,15
139,73,Female,170959,55
140,58,Male,80731,23
141,90,Female,123085,25
142,39,Female,135748,95
143,35,Female,71372,52
144,79,Male,164259,96
145,57,Female,105742,7
146,76,Male,189412,87
147,40,Male,64309,62
148,82,Female,84966,66
149,84,Female,35701,5
150,56,Female,43376,52
151,21,Female,118137,43
152,55,Male,77165,86
153,24,Male,119922,80
154,45,Male,82425,39
155,28,Male,149778,15
156,67,Female,129484,80
157,69,Female,73479,77
158,26,Female,81259,29
159,45,Male,147126,1
160,39,Female,44774,12
161,27,Female,198647,25
162,58,Female,85181,16
163,46,Male,87741,3
164,45,Female,137494,68
165,63,Female,56531,2
166,36,Male,63564,23
167,25,Female,198265,29
168,62,Male,22655,39
169,36,Male,125614,35
170,48,Female,170509,54
171,50,Female,101081,32
172,48,Female,45667,95
173,49,Female,189732,2
174,80,Female,30718,49
175,33,Female,134933,90
176,21,Male,55978,34
177,38,Female,36650,91
178,83,Female,173558,53
179,54,Female,29187,61
180,81,Female,188612,45
181,44,Male,101492,55
182,23,Male,169008,31
183,39,Female,145660,81
184,75,Female,118063,35
185,19,Female,95891,93
186,24,Male,154402,79
187,44,Female,112848,14
188,55,Female,127451,31
189,60,Male,98827,27
190,33,Male,67969,27
191,52,Female,60785,9
192,72,Female,66416,53
193,72,Male,152544,59
194,72,Female,35507,72
195,68,Male,167873,24
196,65,Male,23002,32
197,81,Female,111464,34
198,64,Female,120469,20
199,76,Male,85934,48
200,30,Female,99419,4
201,68,Female,194339,35
202,70,Male,187033,14
203,57,Male,164879,9
204,90,Female,34276,98
205,65,Male,97470,67
206,36,Female,142836,40
207,72,Female,62084,59
208,61,Male,166752,93
209,46,Male,43269,54
210,68,Male,114111,42
211,31,Female,75683,65
212,51,Male,196283,31
213,37,Female,132793,22
214,25,Male,141598,63
215,30,Male,195148,27
216,21,Female,175112,33
217,65,Male,81473,10
218,21,Male,172147,80
219,22,Female,106474,74
220,70,Female,198254,13
221,71,Male,148746,13
222,27,Female,40263,77
223,21,Female,115816,55
224,53,Male,149880,32
225,51,Female,88029,84
226,49,Female,193839,43
227,56,Female,54564,18
228,55,Male,134714,96
229,84,Male,187596,44
230,38,Male,129717,71
231,46,Female,48265,62
232,27,Male,179234,97
233,53,Female,156298,35
234,65,Male,156022,49
235,22,Male,158363,83
236,23,Female,114512,25
237,18,Female,96397,64
238,44,Female,171517,76
239,38,Female,181538,68
240,54,Male,47403,42
241,88,Female,167725,51
242,24,Female,185297,95
243,70,Male,160196,34
244,42,Female,117940,82
245,74,Male,190938,65
246,22,Female,138220,20
247,78,Male,94764,75
248,44,Female,83991,1
249,70,Male,82642,56
250,58,Female,123333,91
251,38,Male,70435,24
252,88,Male,189093,50
253,33,Female,177848,29
254,59,Female,96744,97
255,72,Female,83218,32
256,27,Male,39027,29
257,35,Female,139195,33
258,37,Female,144020,45
259,44,Female,186527,6
260,29,Male,48177,53
261,58,Female,139447,35
262,39,Female,119071,3
263,33,Male,181795,1
264,65,Female,150797,44
265,52,Female,76398,31
266,45,Female,58209,64
267,82,Male,122425,46
268,59,Female,46020,78
269,34,Female,61463,72
270,52,Male,29917,3
271,59,Male,194285,47
272,45,Female,96402,43
273,29,Male,146297,82
274,83,Male,148435,71
275,26,Male,111030,96
276,79,Male,27136,48
277,49,Male,197608,33
278,19,Female,55184,32
279,48,Female,92981,70
280,22,Male,40540,40
281,54,Male,88161,40
282,83,Male,165910,52
283,60,Male,167341,34
284,78,Female,90847,77
285,33,Female,35619,73
286,27,Female,41176,50
287,33,Female,120389,51
288,55,Male,74456,13
289,46,Female,181085,64
290,87,Female,46613,76
291,79,Male,83333,73
292,19,Female,165788,44
293,22,Female,99687,51
294,31,Male,83755,8
295,84,Male,155012,80
296,27,Male,56250,100
297,20,Male,111933,39
298,36,Male,191350,99
299,77,Female,94946,92
300,67,Female,63064,26
301,26,Male,82707,4
302,34,Female,135368,27
303,40,Male,44192,70
304,41,Male,32923,95
305,57,Male,100359,18
306,35,Female,28555,18
307,85,Female,142048,11
308,63,Female,111526,91
309,35,Male,33041,15
310,77,Male,157332,57
311,25,Male,71927,39
312,28,Male,194371,19
313,31,Male,85563,28
314,85,Female,130091,37
315,90,Male,42161,94
316,28,Male,159617,71
317,70,Male,46295,54
318,46,Male,74147,48
319,71,Male,190491,75
320,81,Female,124912,24
321,35,Male,84210,53
322,37,Male,134784,6
323,71,Male,185966,6
324,50,Male,140875,83
325,65,Male,177020,100
326,83,Male,151188,88
327,39,Female,33191,2
328,32,Female,163264,64
329,26,Male,40345,23
330,24,Male,184070,21
331,65,Female,44776,36
332,36,Female,119502,52
333,41,Female,113729,54
334,83,Female,194008,55
335,61,Female,60084,36
336,84,Female,144269,1
337,33,Female,109638,49
338,89,Female,88161,50
339,35,Female,182663,68
340,89,Female,91139,59
341,40,Male,180570,23
342,69,Female,57994,35
343,88,Female,172761,69
344,34,Female,38774,84
345,88,Male,80079,9
346,61,Female,23888,59
347,60,Female,189867,98
348,78,Female,23342,91
349,35,Female,76836,29
350,53,Male,170065,28
351,33,Male,99420,64
352,86,Male,174987,71
353,90,Female,117976,85
354,84,Male,74475,54
355,54,Female,103099,49
